mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4851198196411133,0.024206643926442686,11.448853969573975,0.2870192020838113,kd_tree,51,24,distance,"{'algorithm': 'kd_tree', 'leaf_size': 51, 'n_neighbors': 24, 'weights': 'distance'}",0.46514837819185645,0.44287729196050774,0.4420600858369099,0.44920525224602625,0.4513936097892591,0.45013692360491186,0.008315390555420148,5
0.2504546642303467,0.049894069889551126,14.113504981994629,0.7061388791991783,ball_tree,42,12,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 42, 'n_neighbors': 12, 'weights': 'uniform'}",0.4202279202279202,0.41358936484490394,0.40383198231392775,0.42074927953890495,0.426367461430575,0.4169532016712464,0.0077103057168441316,74
0.01558995246887207,0.004920792283408049,3.0136132717132567,0.13166841675922977,brute,2,4,distance,"{'algorithm': 'brute', 'leaf_size': 2, 'n_neighbors': 4, 'weights': 'distance'}",0.42638973732437385,0.4076120319214242,0.4105716041794714,0.43272727272727274,0.4050029779630733,0.41646072482312313,0.011022222471906755,78
0.4153584957122803,0.08046662952136703,7.6133890628814695,0.2358251496774106,kd_tree,20,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 2, 'weights': 'uniform'}",0.31148804934464147,0.30197268588770865,0.29760986892829605,0.3157894736842105,0.2898330804248862,0.30333863165394853,0.009365051202891292,100
0.27424030303955077,0.029312553674326287,10.020177412033082,0.387254128958871,kd_tree,43,25,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 43, 'n_neighbors': 25, 'weights': 'uniform'}",0.4625,0.44539007092198585,0.4396240057845264,0.4453781512605042,0.44810996563573885,0.4482004387205511,0.007666867857740483,20
0.22546887397766113,0.017806672433247166,12.770926141738892,1.066962080333943,ball_tree,12,1,distance,"{'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 1, 'weights': 'distance'}",0.40728831725616294,0.37219485495347565,0.38628944504896623,0.41586280814576637,0.37573805689747714,0.39147469646036964,0.01726899846380987,96
0.013592338562011719,0.0024152106879100467,2.9745470523834228,0.07713867358202618,brute,17,12,uniform,"{'algorithm': 'brute', 'leaf_size': 17, 'n_neighbors': 12, 'weights': 'uniform'}",0.4202279202279202,0.41358936484490394,0.40383198231392775,0.42074927953890495,0.426367461430575,0.4169532016712464,0.0077103057168441316,74
0.4007683277130127,0.1200545568985464,11.85013680458069,0.9974024457800761,kd_tree,39,14,distance,"{'algorithm': 'kd_tree', 'leaf_size': 39, 'n_neighbors': 14, 'weights': 'distance'}",0.4411164057181757,0.4411969380654141,0.43802816901408453,0.4453496266123558,0.44726301735647533,0.4425908313533011,0.003297727411502546,46
0.011592674255371093,0.0004895318907233172,2.939996528625488,0.2646415233976738,brute,6,21,uniform,"{'algorithm': 'brute', 'leaf_size': 6, 'n_neighbors': 21, 'weights': 'uniform'}",0.46440912232204556,0.44866385372714485,0.4385334291876348,0.43319268635724334,0.44276901987662787,0.44551362229413927,0.010724041029215604,38
0.01699032783508301,0.00909443635152811,3.7013766765594482,0.3424121546858146,brute,14,25,uniform,"{'algorithm': 'brute', 'leaf_size': 14, 'n_neighbors': 25, 'weights': 'uniform'}",0.4625,0.44539007092198585,0.4396240057845264,0.4453781512605042,0.44810996563573885,0.4482004387205511,0.007666867857740483,20
0.21158051490783691,0.027716005867971443,13.782135725021362,0.42099027105076875,ball_tree,34,22,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 34, 'n_neighbors': 22, 'weights': 'uniform'}",0.44805653710247345,0.43578643578643583,0.42352941176470593,0.42363112391930835,0.43582510578279265,0.4333657228711433,0.00915689763008759,60
0.013392257690429687,0.0014959427891515042,3.0168761253356933,0.12096518734562121,brute,22,20,uniform,"{'algorithm': 'brute', 'leaf_size': 22, 'n_neighbors': 20, 'weights': 'uniform'}",0.45102184637068365,0.43628509719222464,0.4223693892568065,0.4226579520697168,0.42715700141442714,0.4318982572607717,0.010803870579475279,61
0.3366844177246094,0.07954970063256073,10.711035346984863,0.3272393969910188,auto,50,29,uniform,"{'algorithm': 'auto', 'leaf_size': 50, 'n_neighbors': 29, 'weights': 'uniform'}",0.4671328671328671,0.4474431818181818,0.4378612716763006,0.43881856540084385,0.455106237148732,0.4492724246353851,0.010916707275385374,10
0.23246583938598633,0.021709393879174543,13.681937170028686,0.6447566736792979,ball_tree,23,15,distance,"{'algorithm': 'ball_tree', 'leaf_size': 23, 'n_neighbors': 15, 'weights': 'distance'}",0.44959128065395093,0.44367176634214184,0.45038705137227303,0.4461016949152542,0.44024307900067516,0.445998974456859,0.0037607622746871584,35
0.014192962646484375,0.004662330047502683,2.7691129207611085,0.21827600395812355,brute,48,9,uniform,"{'algorithm': 'brute', 'leaf_size': 48, 'n_neighbors': 9, 'weights': 'uniform'}",0.4565656565656565,0.42738589211618266,0.4331476323119777,0.42701227830832195,0.44780039395929083,0.4383823706522859,0.01180622780752099,51
0.28446264266967775,0.04942950045963021,11.895631742477416,0.22610533834054097,ball_tree,10,15,distance,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 15, 'weights': 'distance'}",0.44959128065395093,0.44367176634214184,0.45038705137227303,0.4461016949152542,0.44024307900067516,0.445998974456859,0.0037607622746871584,35
