mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2644462585449219,0.02685104492048078,0.004397439956665039,0.0004895511194711668,entropy,17,8,4,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 8, 'min_samples_leaf': 4}",0.43413729128014844,0.4040790312300828,0.4492044063647491,0.41191066997518616,0.39754601226993863,0.41937548222402105,0.019359268144221627,361
0.48052182197570803,0.11241481785044892,0.005196428298950196,0.0019371710092533556,entropy,12,21,5,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 21, 'min_samples_leaf': 5}",0.48854961832061067,0.4182194616977225,0.44802146210596916,0.4593548387096774,0.4297956493078444,0.44878820602836483,0.024447400150824358,152
0.3931712627410889,0.0490209620096455,0.009195089340209961,0.008080144046938725,entropy,9,19,11,"{'criterion': 'entropy', 'max_depth': 9, 'max_features': 19, 'min_samples_leaf': 11}",0.477632484514797,0.45964432284541723,0.44491826581378824,0.44920525224602625,0.42479108635097496,0.45123828235420066,0.017383011369491014,127
0.47492518424987795,0.08018643251129105,0.0039975643157958984,0.0006318066614926321,entropy,16,17,1,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': 17, 'min_samples_leaf': 1}",0.4322084073416223,0.41099312929419113,0.42620943049601956,0.41959798994974873,0.4325609031491384,0.4243139720461441,0.008168379064943191,330
0.262247371673584,0.0386688045077742,0.0039981365203857425,3.234066955149302e-07,entropy,11,13,14,"{'criterion': 'entropy', 'max_depth': 11, 'max_features': 13, 'min_samples_leaf': 14}",0.477946017116524,0.4458333333333333,0.45148247978436656,0.4401850627891606,0.4305364511691884,0.4491966688385146,0.015952897861305694,146
0.12792625427246093,0.027370116146438646,0.005796623229980469,0.0029245350658318424,entropy,13,5,3,"{'criterion': 'entropy', 'max_depth': 13, 'max_features': 5, 'min_samples_leaf': 3}",0.4404378622021893,0.3980978260869565,0.4249329758713137,0.4365284974093264,0.41816967267869076,0.4236333668496953,0.015048456637481205,335
0.28163633346557615,0.09164052494429803,0.0039981365203857425,0.0006322590396390218,gini,12,21,11,"{'criterion': 'gini', 'max_depth': 12, 'max_features': 21, 'min_samples_leaf': 11}",0.47021140294682895,0.42587601078167114,0.45989304812834225,0.43870112657389,0.4294003868471954,0.44481639505558557,0.01735511375820104,183
0.21187715530395507,0.04538349650129962,0.005596828460693359,0.0027264037362234777,gini,8,19,10,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 19, 'min_samples_leaf': 10}",0.47600000000000003,0.41907514450867056,0.42467718794835,0.4640957446808511,0.47323198942498346,0.451416013312571,0.02450298504103609,125
0.06276302337646485,0.02092029630222605,0.014192438125610352,0.013853938009282593,gini,3,10,7,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 7}",0.5066666666666666,0.42814371257485034,0.4318689501116903,0.4743677375256322,0.436046511627907,0.4554187157013493,0.030526111615409607,107
0.1411189079284668,0.04114071807405301,0.003997039794921875,0.0006324101127885761,entropy,7,9,17,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 9, 'min_samples_leaf': 17}",0.46153846153846156,0.40690690690690695,0.42485549132947975,0.4028070175438596,0.41242937853107353,0.4217074511699563,0.021254574460342887,350
0.03317999839782715,0.011899249516742049,0.011992979049682616,0.009812417716726056,gini,6,2,8,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'min_samples_leaf': 8}",0.34299138606108065,0.39487565938206487,0.4318689501116903,0.29387755102040813,0.39062500000000006,0.3708477093150488,0.04773354261471358,446
0.049970054626464845,0.010856848546203793,0.003997802734375,0.0006322591906798552,gini,7,4,2,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 4, 'min_samples_leaf': 2}",0.4334053275737941,0.4250720461095101,0.47300068352699925,0.3896285914505957,0.36377473363774737,0.41697627645972934,0.037556595766837016,369
0.049370861053466795,0.00349653759830714,0.00419764518737793,0.0009787321598886231,gini,6,5,6,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 5, 'min_samples_leaf': 6}",0.47920792079207924,0.43366619115549215,0.4325130499627144,0.38282387190684136,0.3491577335375191,0.4154737534709293,0.045049252521921886,377
0.21887245178222656,0.04525063573451051,0.005796670913696289,0.001832085824497392,entropy,19,8,8,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 8, 'min_samples_leaf': 8}",0.460790273556231,0.43786220218931104,0.4167202572347266,0.42241379310344823,0.4068417837507636,0.4289256619668961,0.018837670985139297,301
0.18529176712036133,0.05107576227217543,0.0039974689483642575,0.0006318822602589344,gini,7,19,1,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 19, 'min_samples_leaf': 1}",0.49292929292929283,0.4413692643845593,0.4543524416135881,0.4725050916496945,0.48235294117647065,0.468701806350721,0.018658840723380022,28
0.2984266757965088,0.04852530677221903,0.0037978649139404296,0.0003989225080241578,entropy,15,12,8,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 12, 'min_samples_leaf': 8}",0.4470134874759153,0.4233766233766234,0.4245524296675192,0.41830065359477125,0.4013201320132013,0.42291266522560605,0.014637362190938748,342
0.31561713218688964,0.04081966367850021,0.004397964477539063,0.0004895121549259085,gini,17,18,13,"{'criterion': 'gini', 'max_depth': 17, 'max_features': 18, 'min_samples_leaf': 13}",0.4595300261096606,0.41415465268676277,0.44416562107904645,0.4239063462723352,0.46259351620947636,0.44087003247145623,0.019143898135264868,218
