mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.39637007713317873,0.009040985497958991,8.697970628738403,0.48744230201298877,auto,2,1,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 1, 'weights': 'uniform'}",0.4081414033208356,0.37438423645320196,0.38607939097335514,0.41586280814576637,0.37573805689747714,0.3920411791581272,0.016969322704250715,77
0.41036152839660645,0.022848912295596602,8.557097911834717,0.27432962532597166,auto,2,1,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 1, 'weights': 'distance'}",0.4081414033208356,0.37438423645320196,0.38607939097335514,0.41586280814576637,0.37573805689747714,0.3920411791581272,0.016969322704250715,77
0.39577040672302244,0.016795212298445297,12.523291063308715,0.44719997873062467,auto,2,3,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'weights': 'uniform'}",0.42260442260442266,0.4202810018326206,0.4031862745098039,0.44041137326073804,0.39109506618531886,0.41551562767858086,0.016977247866640524,37
0.44094481468200686,0.035433292697122136,12.077448606491089,0.35042547438692956,auto,2,3,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'weights': 'distance'}",0.4177292046144505,0.4168674698795181,0.40340218712029163,0.43992827256425576,0.38895558223289317,0.4133765432822818,0.01692334291128718,61
0.38257851600646975,0.02403135298263386,13.641614151000976,0.3025066427478077,auto,2,5,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'weights': 'uniform'}",0.4434389140271493,0.4302477183833116,0.41628365068942874,0.4395886889460155,0.42218021424070573,0.4303478372573221,0.010210691105629858,20
0.39060091972351074,0.021695315475552448,13.513017749786377,0.4377922908266747,auto,2,5,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'weights': 'distance'}",0.42976266837716487,0.42857142857142855,0.4212572909915749,0.4365028717294193,0.41837368094351335,0.42689358812262024,0.006445801194647565,31
0.39677014350891116,0.04083250383535719,17.76640295982361,0.6236323344885082,auto,2,10,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 10, 'weights': 'uniform'}",0.42620590352771776,0.40976331360946744,0.4053452115812918,0.40405503258508324,0.42937062937062936,0.41494801813483795,0.010700503607638146,55
0.4471406936645508,0.062918990959543,18.53655481338501,0.8423107889008532,auto,2,10,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 10, 'weights': 'distance'}",0.45521885521885525,0.4312114989733059,0.4322446143154969,0.44058744993324434,0.4489795918367347,0.44164840205552747,0.009342262379950188,6
0.3370048522949219,0.027907774207176855,6.106127071380615,0.4919170615177433,auto,10,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'uniform'}",0.4081414033208356,0.3741794310722101,0.38607939097335514,0.41586280814576637,0.37573805689747714,0.39200021808192886,0.017012087438970733,81
0.35239591598510744,0.0684603565794133,6.461781644821167,0.35640681843996297,auto,10,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'distance'}",0.4081414033208356,0.3741794310722101,0.38607939097335514,0.41586280814576637,0.37573805689747714,0.39200021808192886,0.017012087438970733,81
0.36019115447998046,0.05736543504841786,8.358767223358154,0.3397121659762376,auto,10,3,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.42260442260442266,0.42002442002442,0.4031862745098039,0.43946731234866826,0.39109506618531886,0.4152754991345267,0.01668743170815756,43
0.3473985195159912,0.05290223100569897,8.31725287437439,0.38686678463092206,auto,10,3,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'}",0.4177292046144505,0.4166164960866947,0.40340218712029163,0.43899521531100477,0.38895558223289317,0.413139737073067,0.016621372054562926,68
0.3779810905456543,0.03511035163819915,9.27439227104187,0.10039394814107869,auto,10,5,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'}",0.4434389140271493,0.4302477183833116,0.41628365068942874,0.4395886889460155,0.42218021424070573,0.4303478372573221,0.010210691105629858,20
0.37618241310119627,0.04729083956954813,8.722901821136475,0.2583204677983792,auto,10,5,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'}",0.42976266837716487,0.42857142857142855,0.4212572909915749,0.4365028717294193,0.41837368094351335,0.42689358812262024,0.006445801194647565,31
0.378580904006958,0.04458082109699976,10.061679029464722,0.23953653794526936,auto,10,10,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'uniform'}",0.42620590352771776,0.4100666173205033,0.4053452115812918,0.40405503258508324,0.42937062937062936,0.41500867887704507,0.0106717608814286,52
0.35799293518066405,0.025420615570378204,9.982527828216552,0.2954733431555105,auto,10,10,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'distance'}",0.45460659045057167,0.4312114989733059,0.4322446143154969,0.4416277518345563,0.4489795918367347,0.44173400948213315,0.00915406951219999,3
