mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3091500600179036,0.01886290142503646,11.855476220448812,0.47439774542763646,auto,2,1,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 1, 'weights': 'uniform'}",0.7364285714285714,0.7285714285714285,0.7271428571428571,0.7307142857142855,0.004082482904638653,83
0.315811554590861,0.013434704015679375,11.524001121520996,0.22518014113153742,auto,2,1,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 1, 'weights': 'distance'}",0.7364285714285714,0.7285714285714285,0.7271428571428571,0.7307142857142855,0.004082482904638653,83
0.31081899007161456,0.002447950035623874,16.101221561431885,0.2263141625504236,auto,2,3,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'weights': 'uniform'}",0.7781428571428571,0.7717142857142857,0.7702857142857142,0.7733809523809523,0.003417309546287473,54
0.2984935442606608,0.01924731491420246,16.057979027430218,0.8149809885663837,auto,2,3,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 3, 'weights': 'distance'}",0.775,0.7697142857142857,0.7655714285714286,0.7700952380952382,0.003858612300930086,61
0.3641223907470703,0.06814820502931714,18.283359050750732,0.7050874537186466,auto,2,5,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'weights': 'uniform'}",0.8,0.7897142857142857,0.7847142857142857,0.7914761904761906,0.006363515621553858,30
0.35945836702982586,0.04853365340571733,17.29171093304952,0.21337051665959783,auto,2,5,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'weights': 'distance'}",0.794,0.7868571428571428,0.7794285714285715,0.7867619047619048,0.0059491419759014905,44
0.3081549008687337,0.028093951376827433,20.80253465970357,0.30462757523825246,auto,2,10,uniform,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 10, 'weights': 'uniform'}",0.8088571428571428,0.8041428571428572,0.8045714285714286,0.8058571428571429,0.002128523489393025,1
0.28516848882039386,0.023315575622148397,20.370297988255818,0.5666690188047612,auto,2,10,distance,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 10, 'weights': 'distance'}",0.8072857142857143,0.8031428571428572,0.799,0.803142857142857,0.003382628692414842,16
0.23190855979919434,0.007524483967892377,8.26415761311849,0.3835059507030623,auto,10,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'uniform'}",0.7364285714285714,0.7285714285714285,0.727,0.7306666666666666,0.004124480314958582,87
0.26651231447855633,0.0041878800145817244,8.645524024963379,0.20040893665485623,auto,10,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'distance'}",0.7364285714285714,0.7285714285714285,0.727,0.7306666666666666,0.004124480314958582,87
0.2961619695027669,0.028761569686091348,10.9572860399882,0.33895105525272734,auto,10,3,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.7781428571428571,0.7717142857142857,0.7702857142857142,0.7733809523809523,0.003417309546287473,54
0.2948292891184489,0.013944259526014151,11.56450883547465,0.8097406462672275,auto,10,3,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'}",0.775,0.7697142857142857,0.7655714285714286,0.7700952380952382,0.003858612300930086,61
0.28516825040181476,0.010397070235503736,12.617386102676392,0.46544845506761806,auto,10,5,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'}",0.8,0.7897142857142857,0.7848571428571428,0.7915238095238095,0.006313071778733963,28
0.35479434331258136,0.08079890622035056,12.233087539672852,0.4174955900054683,auto,10,5,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'}",0.7941428571428572,0.7868571428571428,0.7795714285714286,0.7868571428571428,0.005948760803902003,37
0.2891663710276286,0.04855451313181408,13.480177323023478,0.8550963383302425,auto,10,10,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'uniform'}",0.8088571428571428,0.8041428571428572,0.8045714285714286,0.8058571428571429,0.002128523489393025,1
0.2842711607615153,0.023949783716357486,13.782583872477213,0.5894521014698316,auto,10,10,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'distance'}",0.8072857142857143,0.803,0.799,0.8030952380952381,0.003383298984444093,21
0.2695104281107585,0.03063347116619273,8.683294614156088,0.6340030754924609,auto,20,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'weights': 'uniform'}",0.7365714285714285,0.7287142857142858,0.727,0.7307619047619047,0.004167142829935068,73
0.2635142008463542,0.021127619212856375,8.129586378733316,0.038068049413440455,auto,20,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'weights': 'distance'}",0.7365714285714285,0.7287142857142858,0.727,0.7307619047619047,0.004167142829935068,73
0.2531867027282715,0.026117089561708252,10.452404737472534,0.20710807564654335,auto,20,3,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'weights': 'uniform'}",0.7781428571428571,0.7717142857142857,0.7702857142857142,0.7733809523809523,0.003417309546287473,54
