mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_solver,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03238139152526855,0.0020579904982633273,0.012592458724975586,0.0018533398622337996,1.0,saga,31622.776601683792,"{'tol': 1.0, 'solver': 'saga', 'C': 31622.776601683792}",0.29949238578680204,0.3062761506276151,0.2871972318339101,0.2808219178082192,0.3120452708164915,0.29716659137460766,0.01163017605206113,435
1.0893691539764405,0.09807292950962185,0.012392330169677734,0.007168017288325429,0.005623413251903491,sag,1000.0,"{'tol': 0.005623413251903491, 'solver': 'sag', 'C': 1000.0}",0.388318863456985,0.3564516129032258,0.351417004048583,0.3858267716535433,0.37442218798151,0.37128728800876937,0.015008159015946522,231
0.02618374824523926,0.002784212545454992,0.003598594665527344,0.0004899989774401027,177.82794100389228,sag,31622.776601683792,"{'tol': 177.82794100389228, 'solver': 'sag', 'C': 31622.776601683792}",0.27288428324697755,0.2088724584103512,0.28247602441150826,0.2721791559000861,0.3187250996015937,0.2710274043141034,0.03542358781732449,569
1.5277178764343262,0.09123610435224128,0.004197311401367187,0.0015998256994585775,1.7782794100389227e-07,sag,31.622776601683793,"{'tol': 1.7782794100389227e-07, 'solver': 'sag', 'C': 31.622776601683793}",0.38801261829652994,0.3564516129032258,0.351417004048583,0.3867924528301887,0.3741339491916859,0.3713615274540427,0.015120503776553856,191
0.23546438217163085,0.021385654074549558,0.003397226333618164,0.0004886180630587621,0.00017782794100389227,lbfgs,177.82794100389228,"{'tol': 0.00017782794100389227, 'solver': 'lbfgs', 'C': 177.82794100389228}",0.3912018853102906,0.35880933226065964,0.35084882780921584,0.38805970149253727,0.3756735950731332,0.3729186683891673,0.015857286997894095,80
0.2550516128540039,0.02780046190479625,0.003998231887817383,0.0015480961823379038,0.00017782794100389227,sag,3.162277660168379e-08,"{'tol': 0.00017782794100389227, 'solver': 'sag', 'C': 3.162277660168379e-08}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.02298583984375,0.0012639901730114238,0.0035981655120849608,0.0007997512959535553,1.0,sag,0.001,"{'tol': 1.0, 'solver': 'sag', 'C': 0.001}",0.21448212648945922,0.25863596102745795,0.21957913998170175,0.19814814814814818,0.26949152542372884,0.2320673802140992,0.027284309511927524,587
0.025984430313110353,0.0019997835749116064,0.006196784973144531,0.005909024476716292,31622776.60168379,saga,1e-06,"{'tol': 31622776.60168379, 'solver': 'saga', 'C': 1e-06}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.6372313022613525,0.09684892397549999,0.004397726058959961,0.0004901940859402136,1.7782794100389227e-07,liblinear,1000000.0,"{'tol': 1.7782794100389227e-07, 'solver': 'liblinear', 'C': 1000000.0}",0.3912018853102906,0.35880933226065964,0.35084882780921584,0.38805970149253727,0.3756735950731332,0.3729186683891673,0.015857286997894095,80
1.7905638694763184,0.05980784761214004,0.003798055648803711,0.0007480228015921979,0.00017782794100389227,saga,1000.0,"{'tol': 0.00017782794100389227, 'solver': 'saga', 'C': 1000.0}",0.38862559241706157,0.3535108958837772,0.3527508090614887,0.3867924528301887,0.3734567901234569,0.3710273080631946,0.01552415470293681,252
0.02478513717651367,0.0027846404430599252,0.003197765350341797,0.0003993037209920914,1000.0,liblinear,1000000.0,"{'tol': 1000.0, 'solver': 'liblinear', 'C': 1000000.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.28383541107177734,0.029192717765625542,0.0027984142303466796,0.0003997564706832494,0.00017782794100389227,saga,5.623413251903491e-06,"{'tol': 0.00017782794100389227, 'solver': 'saga', 'C': 5.623413251903491e-06}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.026184272766113282,0.0014687438141176637,0.00279850959777832,0.00039968493444997424,5623.413251903491,saga,5.623413251903491e-09,"{'tol': 5623.413251903491, 'solver': 'saga', 'C': 5.623413251903491e-09}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.35859289169311526,0.03615843406091541,0.003197908401489258,0.00039935127656848176,3.1622776601683795e-05,saga,5.623413251903491e-06,"{'tol': 3.1622776601683795e-05, 'solver': 'saga', 'C': 5.623413251903491e-06}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
0.23926181793212892,0.04222010974932892,0.0035976409912109376,0.0004899013824479931,0.001,lbfgs,31622.776601683792,"{'tol': 0.001, 'solver': 'lbfgs', 'C': 31622.776601683792}",0.3912018853102906,0.35880933226065964,0.35084882780921584,0.38805970149253727,0.3756735950731332,0.3729186683891673,0.015857286997894095,80
1.3344277381896972,0.043601593397288134,0.0029983043670654295,0.0006318819328085353,5.623413251903491e-09,sag,0.005623413251903491,"{'tol': 5.623413251903491e-09, 'solver': 'sag', 'C': 0.005623413251903491}",0.3563873067534581,0.3347073371805441,0.3319570602807597,0.34938775510204084,0.34130781499202556,0.34274945486176567,0.00909162028908537,368
0.028383159637451173,0.0038763873769949112,0.0031982898712158204,0.0003996372934088071,177.82794100389228,saga,177827941.00389227,"{'tol': 177.82794100389228, 'solver': 'saga', 'C': 177827941.00389227}",0.3087248322147651,0.28350515463917525,0.30847457627118646,0.28376068376068375,0.3006535947712418,0.2970237683314105,0.01131259357485648,436
0.0497708797454834,0.005340556271124274,0.00539703369140625,0.003320824455116513,1e-06,liblinear,1e-06,"{'tol': 1e-06, 'solver': 'liblinear', 'C': 1e-06}",0.4187408491947292,0.4138950480413895,0.40506329113924044,0.39212827988338195,0.4005784526391902,0.4060811841795863,0.00945857585149815,37
